dossier,archivo_balance,hoja,fila_excel,materia_prima,kg_ton,pct_100kg
03_3-PRODUCTOR,SGC_CALFERQUIM/08_Dossier_Productos_Registrados/03_3-PRODUCTOR/05_Balance_Masas/3.1_Balance Masa 3-PRODUCTOR_v2.xlsx,3-PRODUCTOR 7-12-40,19,SULFATO DE ZINC,0.9,0.085
03_3-PRODUCTOR,SGC_CALFERQUIM/08_Dossier_Productos_Registrados/03_3-PRODUCTOR/05_Balance_Masas/3.1_Balance Masa 3-PRODUCTOR_v2.xlsx,3-PRODUCTOR 7-12-40,21,E.D.T.A,50.37,5.042
04_10-20-20,SGC_CALFERQUIM/08_Dossier_Productos_Registrados/04_10-20-20/05_Balance_Masas/3.1_Balance Masa TODERO_v4_5.xlsx,TODERO,7,UREA,369,36.9
04_10-20-20,SGC_CALFERQUIM/08_Dossier_Productos_Registrados/04_10-20-20/05_Balance_Masas/3.1_Balance Masa TODERO_v4_5.xlsx,TODERO,8,FOSFATO MONOAMONICO (MAP),74.5,7.45
04_10-20-20,SGC_CALFERQUIM/08_Dossier_Productos_Registrados/04_10-20-20/05_Balance_Masas/3.1_Balance Masa TODERO_v4_5.xlsx,TODERO,9,FOSFATO MONOPOTASICO (MKP),31.8,3.18
04_10-20-20,SGC_CALFERQUIM/08_Dossier_Productos_Registrados/04_10-20-20/05_Balance_Masas/3.1_Balance Masa TODERO_v4_5.xlsx,TODERO,10,FOSFATO DIPOTASICO (DKP),343.5,34.35
04_10-20-20,SGC_CALFERQUIM/08_Dossier_Productos_Registrados/04_10-20-20/05_Balance_Masas/3.1_Balance Masa TODERO_v4_5.xlsx,TODERO,11,SULFATO MAGNESIO ANHIDRO,32.5,3.25
04_10-20-20,SGC_CALFERQUIM/08_Dossier_Productos_Registrados/04_10-20-20/05_Balance_Masas/3.1_Balance Masa TODERO_v4_5.xlsx,TODERO,12,SULFATO DE COBRE,1.2,0.12
04_10-20-20,SGC_CALFERQUIM/08_Dossier_Productos_Registrados/04_10-20-20/05_Balance_Masas/3.1_Balance Masa TODERO_v4_5.xlsx,TODERO,13,SULFATO FERROSO MONOHIDRATO,3.5,0.35
04_10-20-20,SGC_CALFERQUIM/08_Dossier_Productos_Registrados/04_10-20-20/05_Balance_Masas/3.1_Balance Masa TODERO_v4_5.xlsx,TODERO,14,SULFATO DE MANGANESO,1,0.1
04_10-20-20,SGC_CALFERQUIM/08_Dossier_Productos_Registrados/04_10-20-20/05_Balance_Masas/3.1_Balance Masa TODERO_v4_5.xlsx,TODERO,15,SULFATO DE ZINC,2,0.2
04_10-20-20,SGC_CALFERQUIM/08_Dossier_Productos_Registrados/04_10-20-20/05_Balance_Masas/3.1_Balance Masa TODERO_v4_5.xlsx,TODERO,16,QUITINA ORGÁNICA (HYT-C),108,10.8
04_10-20-20,SGC_CALFERQUIM/08_Dossier_Productos_Registrados/04_10-20-20/05_Balance_Masas/3.1_Balance Masa TODERO_v4_5.xlsx,TODERO,17,VINAZA (BIORGANIK),33,3.3
04_10-20-20,SGC_CALFERQUIM/08_Dossier_Productos_Registrados/04_10-20-20/05_Balance_Masas/3_Balance Materias Primas 10-20-20.xlsx,bm_mf_10-20-20,8,UREA,75,7.5
04_10-20-20,SGC_CALFERQUIM/08_Dossier_Productos_Registrados/04_10-20-20/05_Balance_Masas/3_Balance Materias Primas 10-20-20.xlsx,bm_mf_10-20-20,9,SAM,25,2.5
04_10-20-20,SGC_CALFERQUIM/08_Dossier_Productos_Registrados/04_10-20-20/05_Balance_Masas/3_Balance Materias Primas 10-20-20.xlsx,bm_mf_10-20-20,10,KCL,330,33
04_10-20-20,SGC_CALFERQUIM/08_Dossier_Productos_Registrados/04_10-20-20/05_Balance_Masas/3_Balance Materias Primas 10-20-20.xlsx,bm_mf_10-20-20,11,DAP,320,32
04_10-20-20,SGC_CALFERQUIM/08_Dossier_Productos_Registrados/04_10-20-20/05_Balance_Masas/3_Balance Materias Primas 10-20-20.xlsx,bm_mf_10-20-20,12,RAIFOS20,250,25
05_10-30-10,SGC_CALFERQUIM/08_Dossier_Productos_Registrados/05_10-30-10/05_Balance_Masas/3.1_Balance Masa TODERO_v4_5.xlsx,TODERO,7,UREA,369,36.9
05_10-30-10,SGC_CALFERQUIM/08_Dossier_Productos_Registrados/05_10-30-10/05_Balance_Masas/3.1_Balance Masa TODERO_v4_5.xlsx,TODERO,8,FOSFATO MONOAMONICO (MAP),74.5,7.45
05_10-30-10,SGC_CALFERQUIM/08_Dossier_Productos_Registrados/05_10-30-10/05_Balance_Masas/3.1_Balance Masa TODERO_v4_5.xlsx,TODERO,9,FOSFATO MONOPOTASICO (MKP),31.8,3.18
05_10-30-10,SGC_CALFERQUIM/08_Dossier_Productos_Registrados/05_10-30-10/05_Balance_Masas/3.1_Balance Masa TODERO_v4_5.xlsx,TODERO,10,FOSFATO DIPOTASICO (DKP),343.5,34.35
05_10-30-10,SGC_CALFERQUIM/08_Dossier_Productos_Registrados/05_10-30-10/05_Balance_Masas/3.1_Balance Masa TODERO_v4_5.xlsx,TODERO,11,SULFATO MAGNESIO ANHIDRO,32.5,3.25
05_10-30-10,SGC_CALFERQUIM/08_Dossier_Productos_Registrados/05_10-30-10/05_Balance_Masas/3.1_Balance Masa TODERO_v4_5.xlsx,TODERO,12,SULFATO DE COBRE,1.2,0.12
