DOSSIER,PRODUCTO,MATERIA_PRIMA,KG_TON,C,N,N-NH4,N-NO3,N-org,N-ur,P,K,CaO,MgO,S,B,Co,Cu,Fe,Mn,Mo,SiO2,Zn,Na
07_15-15-15,MF 15-15-15 X KILO,41.4 – 0 – 6,200.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07_15-15-15,MF 15-15-15 X KILO,DAP GRANULADO X KILO,300.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07_15-15-15,MF 15-15-15 X KILO,KCL GRANULADO X KILO,210.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07_15-15-15,MF 15-15-15 X KILO,NUCLEO 4 X KILO,290.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07_15-15-15,MF 15-15-15 X KILO,TOTAL,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
08_BORO GRANULADO,BORO GRANULADO SN X KILO,ULEXITA X KILO,850.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08_BORO GRANULADO,BORO GRANULADO SN X KILO,CARBONATO DE CALCIO X KILO,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08_BORO GRANULADO,BORO GRANULADO SN X KILO,KIESERITA EN POLVO X KILO,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08_BORO GRANULADO,BORO GRANULADO SN X KILO,SILICATO DE MAGNESIO X KILO,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08_BORO GRANULADO,BORO GRANULADO SN X KILO,TOTAL,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
