COD;PRODUCTO;CLASE;TIPO;Test;C;N;N-NH4;N-NO3;N-org;N-ur;P;K;CaO;MgO;S;B;Co;Cu;Fe;Mn;Mo;SiO2;Zn;Na
417;MF 29-3-15+EM;PT;G;1;;29;;;;;3;15;;;;;;;;;;;;
389;MF 3-10-2 + EM;PT;G;1;;3;;;;;10;2;;;;;;;;;;;;
163;MF 30-0-20 +EM +TMC;PT;G;1;;30;;;;;0;20;;;;;;;;;;;;
418;MF 30 0 20;PT;G;1;;30;;;;;0;20;;;;;;;;;;;;
538;MF 30-11-10+EM;PT;G;1;;30;;;;;11;10;;;;;;;;;;;;
493;MF 30-12K-2CA+EM;PT;G;1;;30;;;;;12;12;2;;;;;;;;;;;
298;MF 31-0-20+X;PT;G;1;;31;;;;;0;20;;;;;;;;;;;;
187;MF 31-0-20+TMC;PT;G;1;;31;;;;;0;20;;;;;;;;;;;;
81;MF 31-8-8-2;PT;G;1;;31;;;;;8;8;2;;;;;;;;;;;
521;MF 31-6-11+EM;PT;G;1;;31;;;;;6;11;;;;;;;;;;;;
380;MF 32-0-6+EM;PT;G;1;;32;;;;;0;6;;;;;;;;;;;;
327;MF 32-6-5-2SI-1CO;PT;G;1;1;32;;;;;6;5;;;;;;;;;;2;;
383;MF 32 1 6 2Ca+ EM;PT;G;1;;32;;;;;1;6;2;;;;;;;;;;;
665;MF 32-1-12+EM;PT;G;1;;32;;;;;1;12;;;;;;;;;;;;
626;MF 33-1-12+EM;PT;G;1;;33;;;;;1;12;;;;;;;;;;;;
479;MF 33-5-12;PT;G;1;;33;;;;;5;12;;;;;;;;;;;;
523;MF 37-0-11;PT;G;1;;37;;;;;0;11;;;;;;;;;;;;
434;MF 37-2Ca-2Mg+EM;PT;G;1;;37;;;;;0;0;2;2;;;;;;;;;;
168;MF 38-0-0-8;PT;G;1;;38;;;;;0;0;8;;;;;;;;;;;
399;MF 38-10K_;PT;G;1;;38;;;;;0;10;;;;;;;;;;;;
640;MF 3-13-32+EM;PT;G;1;;3;;;;;13;32;;;;;;;;;;;;
369;MF 40-3-0-2+EM;PT;G;1;;40;;;;;3;0;2;;;;;;;;;;;
292;MF 52K-1,1B-0,5Z;PT;G;1;;0;;;;;0;52;;;;1.1;;;;;;;0.5;
391;MF 6-9-6+EM;PT;G;1;;6;;;;;9;6;;;;;;;;;;;;
356;MF 7-7-5-3S+EM+2CO;PT;G;1;2;7;;;;;7;5;;;3;;;;;;;;;
545;MF 7-14-29+EM;PT;G;1;;7;;;;;14;29;;;;;;;;;;;;
313;MF 8-24-8+EM;PT;G;1;;8;;;;;24;8;;;;;;;;;;;;
435;MF 8-15-23+EM;PT;G;1;;8;;;;;15;23;;;;;;;;;;;;
510;MF 8-17-34-1S;PT;G;1;;8;;;;;17;34;;;1;;;;;;;;;
453;MF 8-20-12+EM;PT;G;1;;8;;;;;20;12;;;;;;;;;;;;
439;MF 9-12-24+EM;PT;G;1;;9;;;;;12;24;;;;;;;;;;;;
21;MF-17-6-18-2;PT;G;1;;17;;;;;6;18;;;2;;;;;;;;;
22;MF-23-3-20-4Ca-3Si;PT;G;1;;23;;;;;3;20;4;;;;;;;;;3;;
673;MFE 0-10+EM;PT;G;1;;0;;;;;1;0;;;;;;;;;;;;
R;MFE 10-15-20;PT;G;1;;10;;;;;15;20;;;;;;;;;;;;
R;MFE 10-30-10;PT;G;1;;10;;;;;30;10;;;;;;;;;;;;
588;MFE 10 11 29;PT;G;1;;10;;;;;11;29;;;;;;;;;;;;
641;MFE 10-24-14 +EM;PT;G;1;;10;;;;;24;14;;;;;;;;;;;;
542;MFE 10-25-8+EM;PT;G;1;;10;;;;;25;8;;;;;;;;;;;;
589;MFE 10-6-16 +EM;PT;G;1;;10;;;;;6;16;;;;;;;;;;;;
668;MFE 10-6-6+EM;PT;G;1;;10;;;;;6;6;;;;;;;;;;;;
569;MFE 10-9-18+EM;PT;G;1;;10;;;;;9;18;;;;;;;;;;;;
R;MFE 11-10-3;PT;G;1;;11;;;;;10;3;;;;;;;;;;;;
544;MFE 11-24-9+EM;PT;G;1;;11;;;;;24;9;;;;;;;;;;;;
646;MFE 11-25-9+EM;PT;G;1;;11;;;;;25;9;;;;;;;;;;;;
660;MFE 11-9-18+EM;PT;G;1;;11;;;;;9;18;;;;;;;;;;;;
587;MFE 12 25 9;PT;G;1;;12;;;;;25;9;;;;;;;;;;;;
659;MFE 13-15-10+EM;PT;G;1;;13;;;;;16;10;;;;;;;;;;;;
314;MFE 13-26-6+EM;PT;G;1;;13;;;;;26;6;;;;;;;;;;;;
489;MFE 13-36-10+EM;PT;G;1;;13;;;;;36;10;;;;;;;;;;;;
601;MFE 13-6-6+EM;PT;G;1;;13;;;;;6;6;;;;;;;;;;;;
R;MFE 14-4-23;PT;G;1;;14;;;;;4;23;;;;;;;;;;;;
590;MFE 15-12-20+EM;PT;G;1;;15;;;;;12;20;;;;;;;;;;;;
623;MFE 15-20-2+EM;PT;G;1;;15;;;;;20;2;;;;;;;;;;;;
602;MFE 15-21-1+EM;PT;G;1;;15;;;;;21;1;;;;;;;;;;;;
635;MFE 15-9-20+EM;PT;G;1;;15;;;;;9;20;;;;;;;;;;;;
R;MFE 16-16-16;PT;G;1;;16;;;;;16;16;;;;;;;;;;;;
658;MFE 16-21-5+EM;PT;G;1;;16;;;;;21;5;;;;;;;;;;;;
429;MFE 18-18-18+EM;PT;G;1;;18;;;;;18;18;;;;;;;;;;;;
649;MFE 18-2-0+EM;PT;G;1;;18;;;;;2;0;;;;;;;;;;;;
414;MFE 18-9-29+EM;PT;G;1;;18;;;;;9;29;;;;;;;;;;;;
674;MFE 19-25-6+EM;PT;G;1;;19;;;;;25;6;;;;;;;;;;;;
566;MFE 19-4-10+EM;PT;G;1;;19;;;;;4;10;;;;;;;;;;;;
586;MFE 19-4-18;PT;G;1;;19;;;;;4;18;;;;;;;;;;;;
596;MFE 20-3-14+EM;PT;G;1;;20;;;;;3;14;;;;;;;;;;;;
413;MFE 20-4-18+EM;PT;G;1;;20;;;;;4;18;;;;;;;;;;;;
R;MFE 21-5-1;PT;G;1;;21;;;;;5;1;;;;;;;;;;;;
555;MFE 21-4-11+EM;PT;G;1;;21;;;;;4;11;;;;;;;;;;;;
654;MFE 21-7-8 + EM;PT;G;1;;21;;;;;7;8;;;;;;;;;;;;
R;MFE 22-3-13;PT;G;1;;22;;;;;3;13;;;;;;;;;;;;
1410;MFE 22-3-7;PT;G;1;0;22;;;;0;3;7;0;0;0;0;0;0;0;0;0;0;0;0
R;MFE 22-3-7;PT;G;1;;22;;;;;3;7;;;;;;;;;;;;
664;MFE 22-0-19+EM;PT;G;1;;22;;;;;0;19;;;;;;;;;;;;
560;MFE 22-3-0+ EM;PT;G;1;;22;;;;;3;0;;;;;;;;;;;;
645;MFE 22-3-3+EM;PT;G;1;;22;;;;;3;3;;;;;;;;;;;;
662;MFE 22-6-3+EM;PT;G;1;;22;;;;;6;3;;;;;;;;;;;;
605;MFE 22-7K-12S+EM;PT;G;1;;22;;;;;0;7;;;12;;;;;;;;;
639;MFE 22-8-10+EM;PT;G;1;;22;;;;;8;10;;;;;;;;;;;;
535;MFE 22-9-0+EM;PT;G;1;;22;;;;;9;0;;;;;;;;;;;;
R;MFE 23-5-10;PT;G;1;;23;;;;;5;10;;;;;;;;;;;;
669;MFE 23-1-18+EM;PT;G;1;;23;;;;;1;18;;;;;;;;;;;;
651;MFE 23-4-16+EM;PT;G;1;;23;;;;;4;16;;;;;;;;;;;;
593;MFE 23-4-9+EM;PT;G;1;;23;;;;;4;9;;;;;;;;;;;;
420;MFE 23-5-10+EM;PT;G;1;;23;;;;;5;10;;;;;;;;;;;;
554;MFE 23-9-11+EM;PT;G;1;;23;;;;;9;11;;;;;;;;;;;;
R;MFE 24-2-14;PT;G;1;;24;;;;;2;14;;;;;;;;;;;;
650;MFE 24-2-9+EM;PT;G;1;;24;;;;;2;9;;;;;;;;;;;;
585;MFE 24-4-2K+EM;PT;G;1;;24;;;;;4;2;;;;;;;;;;;;
965;MFE 24-4-10+EM;PT;G;1;;24;;;;;4;10;;;;;;;;;;;;
616;MFE 24-6-7+EM;PT;G;1;;24;;;;;6;7;;;;;;;;;;;;
591;MFE 24-9K-12S+EM;PT;G;1;;24;;;;;0;9;;;12;;;;;;;;;
614;MFE 24-9-7S+EM;PT;G;1;;24;;;;;9;0;;;7;;;;;;;;;
629;MFE 25-0-8+EM;PT;G;1;;25;;;;;0;8;;;;;;;;;;;;
412;MFE 25-13-12 +EM;PT;G;1;;25;;;;;13;12;;;;;;;;;;;;
628;MFE 25-4-14+EM;PT;G;1;;25;;;;;4;14;;;;;;;;;;;;
677;MFE 25-6-0+EM;PT;G;1;;25;;;;;6;0;;;;;;;;;;;;
