idInterno;codigoExterno;producto;tipo;origen;estado;archivo_ficha;score;razon
PT0190;596;MFE 20-3-14+EM;G;csv;NO ESPECIFICA;;0.00;formula sin FT especifica
PT0191;413;MFE 20-4-18+EM;G;csv;NO ESPECIFICA;;0.00;formula sin FT especifica
PT0192;555;MFE 21-4-11+EM;G;csv;NO ESPECIFICA;;0.00;formula sin FT especifica
PT0193;654;MFE 21-7-8 + EM;G;csv;NO ESPECIFICA;;0.00;formula sin FT especifica
PT0194;1410;MFE 22-3-7;G;csv;NO ESPECIFICA;;0.00;formula sin FT especifica
PT0195;664;MFE 22-0-19+EM;G;csv;NO ESPECIFICA;;0.00;formula sin FT especifica
PT0196;560;MFE 22-3-0+ EM;G;csv;NO ESPECIFICA;;0.00;formula sin FT especifica
PT0197;645;MFE 22-3-3+EM;G;csv;NO ESPECIFICA;;0.00;formula sin FT especifica
PT0198;662;MFE 22-6-3+EM;G;csv;NO ESPECIFICA;;0.00;formula sin FT especifica
PT0199;605;MFE 22-7K-12S+EM;G;csv;NO ESPECIFICA;;0.00;formula sin FT especifica
PT0200;639;MFE 22-8-10+EM;G;csv;NO ESPECIFICA;;0.00;formula sin FT especifica
PT0201;535;MFE 22-9-0+EM;G;csv;NO ESPECIFICA;;0.00;formula sin FT especifica
PT0202;669;MFE 23-1-18+EM;G;csv;NO ESPECIFICA;;0.00;formula sin FT especifica
PT0203;651;MFE 23-4-16+EM;G;csv;NO ESPECIFICA;;0.00;formula sin FT especifica
PT0204;593;MFE 23-4-9+EM;G;csv;NO ESPECIFICA;;0.00;formula sin FT especifica
PT0205;420;MFE 23-5-10+EM;G;csv;NO ESPECIFICA;;0.00;formula sin FT especifica
PT0206;554;MFE 23-9-11+EM;G;csv;NO ESPECIFICA;;0.00;formula sin FT especifica
PT0207;650;MFE 24-2-9+EM;G;csv;NO ESPECIFICA;;0.00;formula sin FT especifica
PT0208;585;MFE 24-4-2K+EM;G;csv;NO ESPECIFICA;;0.00;formula sin FT especifica
PT0209;965;MFE 24-4-10+EM;G;csv;NO ESPECIFICA;;0.00;formula sin FT especifica
PT0210;616;MFE 24-6-7+EM;G;csv;NO ESPECIFICA;;0.00;formula sin FT especifica
PT0211;591;MFE 24-9K-12S+EM;G;csv;NO ESPECIFICA;;0.00;formula sin FT especifica
PT0212;614;MFE 24-9-7S+EM;G;csv;NO ESPECIFICA;;0.00;formula sin FT especifica
PT0213;629;MFE 25-0-8+EM;G;csv;NO ESPECIFICA;;0.00;formula sin FT especifica
PT0214;412;MFE 25-13-12 +EM;G;csv;NO ESPECIFICA;;0.00;formula sin FT especifica
PT0215;628;MFE 25-4-14+EM;G;csv;NO ESPECIFICA;;0.00;formula sin FT especifica
PT0216;677;MFE 25-6-0+EM;G;csv;NO ESPECIFICA;;0.00;formula sin FT especifica
PT0217;568;MFE 25-6-13+EM;G;csv;NO ESPECIFICA;;0.00;formula sin FT especifica
PT0218;644;MFE 25-8-16+EM;G;csv;NO ESPECIFICA;;0.00;formula sin FT especifica
PT0219;594;MFE 26-11-6+EM;G;csv;NO ESPECIFICA;;0.00;formula sin FT especifica
PT0220;582;MFE 26-20K-4S;G;csv;NO ESPECIFICA;;0.00;formula sin FT especifica
PT0221;627;MFE 26-2-9-2Ca;G;csv;NO ESPECIFICA;;0.00;formula sin FT especifica
PT0222;431;MFE 26-6-2+EM;G;csv;OK;FT MFE 26-6-2.docx;1.00;exacto formula NPK
PT0223;682;MFE 26-7-0+EM;G;csv;NO ESPECIFICA;;0.00;formula sin FT especifica
PT0224;625;MFE 27-18K-5S;G;csv;NO ESPECIFICA;;0.00;formula sin FT especifica
PT0225;672;MFE 27-20-0+EM;G;csv;NO ESPECIFICA;;0.00;formula sin FT especifica
PT0226;539;MFE 27-5-11+EM;G;csv;NO ESPECIFICA;;0.00;formula sin FT especifica
PT0227;610;MFE 27-8-9+EM ILO;G;csv;NO ESPECIFICA;;0.00;formula sin FT especifica
PT0228;621;MFE 28-24-0;G;csv;NO ESPECIFICA;;0.00;formula sin FT especifica
PT0229;1401;MFE 28 5 5.4 + EM;G;csv;NO ESPECIFICA;;0.00;formula sin FT especifica
PT0230;600;MFE 28-14-6+EM;G;csv;NO ESPECIFICA;;0.00;formula sin FT especifica
PT0231;657;MFE 28-4-9+EM;G;csv;NO ESPECIFICA;;0.00;formula sin FT especifica
PT0232;592;MFE 28-5-0+EM;G;csv;NO ESPECIFICA;;0.00;formula sin FT especifica
PT0233;548;MFE 28-5-15+EM;G;csv;NO ESPECIFICA;;0.00;formula sin FT especifica
PT0234;609;MFE 28-5-9+EM;G;csv;NO ESPECIFICA;;0.00;formula sin FT especifica
PT0235;608;MFE 29 10 6 + EM;G;csv;NO ESPECIFICA;;0.00;formula sin FT especifica
PT0236;428;MFE 29-15-5+EM;G;csv;NO ESPECIFICA;;0.00;formula sin FT especifica
PT0237;607;MFE 29-1-11+EM;G;csv;NO ESPECIFICA;;0.00;formula sin FT especifica
PT0238;683;MFE 29-6-12+EM;G;csv;NO ESPECIFICA;;0.00;formula sin FT especifica
PT0239;840;MFE 30-0-20;G;csv;NO ESPECIFICA;;0.00;formula sin FT especifica
PT0240;598;MFE 30-11-6+EM;G;csv;NO ESPECIFICA;;0.00;formula sin FT especifica
PT0241;465;MFE 30-8-0-5CA+EM;G;csv;NO ESPECIFICA;;0.00;formula sin FT especifica
PT0242;676;MFE 30-9-0+EM;G;csv;NO ESPECIFICA;;0.00;formula sin FT especifica
PT0243;671;MFE 31-5-0+EM;G;csv;NO ESPECIFICA;;0.00;formula sin FT especifica
PT0244;597;MFE 31-6-7+EM;G;csv;NO ESPECIFICA;;0.00;formula sin FT especifica
PT0245;581;MFE 31-7K-9S;G;csv;NO ESPECIFICA;;0.00;formula sin FT especifica
PT0246;1080;MFE 32-0-9;G;csv;NO ESPECIFICA;;0.00;formula sin FT especifica
PT0247;1402;MFE 32 1 12;G;csv;NO ESPECIFICA;;0.00;formula sin FT especifica
PT0248;599;MFE 33-6-6+EM;G;csv;NO ESPECIFICA;;0.00;formula sin FT especifica
PT0249;666;MFE 4-9-0+ EM;G;csv;OK;FT MFE 4-9-0.docx;1.00;exacto formula NPK
PT0250;622;MFE 5-8-29+EM;G;csv;NO ESPECIFICA;;0.00;formula sin FT especifica
PT0251;603;MFE 6-6-33+EM;G;csv;NO ESPECIFICA;;0.00;formula sin FT especifica
PT0252;661;MFE 7-8-30+EM;G;csv;NO ESPECIFICA;;0.00;formula sin FT especifica
PT0253;551;MFE 8-6-24+EM;G;csv;NO ESPECIFICA;;0.00;formula sin FT especifica
PT0254;164;MICRON C;G;csv;OK;251030_FT MICRON C.docx;1.00;exacto nombre
PT0255;188;MICRON CS;G;csv;OK;251030_FT MICRON CS.docx;1.00;exacto nombre
PT0256;65;NUCLEO 4;G;csv;OK;250718_FT NUCLEO 4.docx;1.00;exacto nombre
PT0257;62;NUCLEO CAMASI GRIS;G;csv;FUERTE;250718_FT NUCLEO CAMASI.docx;0.95;sinonimo: NUCLEO CAMASI
PT0258;563;NUCLEO CAMASI YARA;G;csv;OK;250718_FT NUCLEO CAMASI YARA.docx;1.00;exacto nombre
PT0259;140;NUCLEO FERCON;G;csv;FALTA;;0.00;sin coincidencia
PT0260;679;NUCLEO FOSFORO 10;G;csv;OK;250718_FT NUCLEO FOSFORO-10.docx;1.00;exacto nombre
PT0261;208;NUCLEO MAGNESIO;G;csv;FUERTE;250718_FT NUCLEO MAGNESIO-S.docx;0.95;contencion tokens
PT0262;803;NUCLEO MAGNESIO-S;G;csv;OK;250718_FT NUCLEO MAGNESIO-S.docx;1.00;exacto nombre
PT0263;604;NUCLEO MAGNESIO-SILICIO;G;csv;OK;250718_FT NUCLEO MAGNESIO-SILICIO.pdf;1.00;exacto nombre
PT0264;558;NUCLEO MAGNESIO-SILICIO EM;G;csv;FUERTE;FT NUCLEO MAGNESIO-SILICIO.docx;0.95;coincidencia fuerte
PT0265;155;RAIFOS 20;G;csv;OK;250718_FT RAIFOS 20.docx;1.00;exacto nombre
PT0266;35;SILIMAGRAN;G;csv;OK;250718_FT SILIMAGRAN.docx;1.00;exacto nombre
