idInterno;codigoExterno;codigoOriginal;producto;clase;tipo;origen;archivado;C;N;N-NH4;N-NO3;N-org;N-ur;P;K;CaO;MgO;S;B;Co;Cu;Fe;Mn;Mo;SiO2;Zn;Na
MZR0012;R;R;MFE 22-3-7;MZR;G;csv;;0;22;0;0;0;0;3;7;0;0;0;0;0;0;0;0;0;0;0;0
MZR0013;R;R;MFE 23-5-10;MZR;G;csv;;0;23;0;0;0;0;5;10;0;0;0;0;0;0;0;0;0;0;0;0
MZR0014;R;R;MFE 24-2-14;MZR;G;csv;;0;24;0;0;0;0;2;14;0;0;0;0;0;0;0;0;0;0;0;0
MZR0015;R;R;MFE 26-6-2 / SUPER PASTURA;MZR;G;csv;;0;26;0;0;0;0;6;2;0;0;0;0;0;0;0;0;0;0;0;0
MZR0016;R;R;MFE 28-0-6;MZR;G;csv;;0;28;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0
MZR0017;R;R;MFE 28-1-12;MZR;G;csv;;0;28;0;0;0;0;1;12;0;0;0;0;0;0;0;0;0;0;0;0
MZR0018;R;R;MFE 31-0-20 TMC;MZR;G;csv;;0;31;0;0;0;0;0;20;0;0;0;0;0;0;0;0;0;0;0;0
MZR0019;R1;R1;MFE 41.4-0-6;MZR;G;csv;;0;41.4;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0
MZR0020;R2;R2;MFE 43.5-0-0-2.4S;MZR;G;csv;;0;43.5;0;0;0;0;0;0;0;0;2.4;0;0;0;0;0;0;0;0;0
PT0001;123;123;BORO G;PT;G;csv;;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0
PT0002;150;150;CALFERZINC P;PT;G;csv;;0;0;0;0;0;0;0;3;0;0;7;0;0;0;0;0;0;0;22;0
PT0003;663;663;FE FERTIMENORES;PT;G;csv;;0;0;0;0;0;0;5;0;13;6;5;1;0.5;0.5;0;0;0;0;2.5;0
PT0004;141;141;FE SULFATO CALCIO P;PT;G;csv;;0;0;0;0;0;0;0;0;26.4;1.5;10.8;0;0;0;0;0;0;2.8;0;0
PT0005;643;643;FE SULFATO ZINC 22;PT;G;csv;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;0
PT0006;300;300;K2K;PT;G;csv;;5;0;0;0;0;0;0;28.76;2.84;0;3.42;0;0;0;0;0;0;1;0;0.31
PT0007;154;154;MAGNE 3;PT;G;csv;;0;0;0;0;0;0;0;3;4.5;27;5.5;0;0;0;0;0;0;13;0;0
PT0008;411;411;MF 0-15-15+EM;PT;G;csv;;0;0;0;0;0;0;15;15;0;0;0;0;0;0;0;0;0;0;0;0
PT0009;137;137;MF 10-20-20;PT;G;csv;;0;10;0;0;0;0;20;20;0;0;0;0;0;0;0;0;0;0;0;0
PT0010;86;86;MF 10-30-10;PT;G;csv;;0;10;0;0;0;0;30;10;0;0;0;0;0;0;0;0;0;0;0;0
PT0011;407;407;MF 10-10-20+EM;PT;G;csv;;0;10;0;0;0;0;10;20;0;0;0;0;0;0;0;0;0;0;0;0
PT0012;396;396;MF 10-15-20+EM;PT;G;csv;;0;10;0;0;0;0;15;20;0;0;0;0;0;0;0;0;0;0;0;0
PT0013;495;495;MF 10-15-29+EM;PT;G;csv;;0;10;0;0;0;0;15;29;0;0;0;0;0;0;0;0;0;0;0;0
PT0014;408;408;MF 10-20-20+EM;PT;G;csv;;0;10;0;0;0;0;20;20;0;0;0;0;0;0;0;0;0;0;0;0
PT0015;464;464;MF 10-20-28+EM;PT;G;csv;;0;10;0;0;0;0;20;28;0;0;0;0;0;0;0;0;0;0;0;0
PT0016;423;423;MF 10-20-30+EM;PT;G;csv;;0;10;0;0;0;0;20;30;0;0;0;0;0;0;0;0;0;0;0;0
PT0017;406;406;MF 10-24-4+EM;PT;G;csv;;0;10;0;0;0;0;24;4;0;0;0;0;0;0;0;0;0;0;0;0
PT0018;387;387;MF 10-28-6+EM;PT;G;csv;;0;10;0;0;0;0;28;6;0;0;0;0;0;0;0;0;0;0;0;0
PT0019;390;390;MF 10-6-4 + EM;PT;G;csv;;0;10;0;0;0;0;6;4;0;0;0;0;0;0;0;0;0;0;0;0
PT0020;670;670;MF 10-9-30;PT;G;csv;;0;10;0;0;0;0;9;30;0;0;0;0;0;0;0;0;0;0;0;0
PT0021;458;458;MF 10-9-30+EM;PT;G;csv;;0;10;0;0;0;0;9;30;0;0;0;0;0;0;0;0;0;0;0;0
PT0022;388;388;MF 11-5-27;PT;G;csv;;0;11;0;0;0;0;5;27;0;0;0;0;0;0;0;0;0;0;0;0
PT0023;543;543;MF 11-29-12+EM;PT;G;csv;;0;11;0;0;0;0;29;12;0;0;0;0;0;0;0;0;0;0;0;0
PT0024;268;268;MF 12-24-12;PT;G;csv;;0;12;0;0;0;0;24;12;0;0;0;0;0;0;0;0;0;0;0;0
PT0025;317;317;MF 12-24-12+EM;PT;G;csv;;0;12;0;0;0;0;24;12;0;0;0;0;0;0;0;0;0;0;0;0
PT0026;318;318;MF 12-7-12+EM;PT;G;csv;;0;12;0;0;0;0;7;12;0;0;0;0;0;0;0;0;0;0;0;0
PT0027;496;496;MF 12-30-10+EM;PT;G;csv;;0;12;0;0;0;0;30;10;0;0;0;0;0;0;0;0;0;0;0;0
PT0028;490;490;MF 13-26-10+ EM;PT;G;csv;;0;13;0;0;0;0;26;10;0;0;0;0;0;0;0;0;0;0;0;0
PT0029;419;419;MF 13-7-12+EM;PT;G;csv;;0;13;0;0;0;0;7;12;0;0;0;0;0;0;0;0;0;0;0;0
PT0030;381;381;MF 14-3-19-7Ca+EM;PT;G;csv;;0;14;0;0;0;0;3;19;7;0;0;0;0;0;0;0;0;0;0;0
PT0031;433;433;MF 14-4-23+EM;PT;G;csv;;0;14;0;0;0;0;4;23;0;0;0;0;0;0;0;0;0;0;0;0
PT0032;516;516;MF 14-4-24+EM;PT;G;csv;;0;14;0;0;0;0;4;24;0;0;0;0;0;0;0;0;0;0;0;0
