idInterno;codigoExterno;clase;grupo;producto;tiene_HS;score;motivo;archivo_HS
PT0115;606;PT;MF_MFE;MF 27-6-13+EM;NO;0.0;;
PT0116;480;PT;MF_MFE;MF 27-9K-10S+EM;NO;0.0;;
PT0117;299;PT;MF_MFE;MF 28-0-6-2Ca+EM;NO;0.0;;
PT0118;312;PT;MF_MFE;MF 28-0-9-2Ca+EM;NO;0.0;;
PT0119;165;PT;MF_MFE;MF 28-1-12+EM;NO;0.0;;
PT0120;303;PT;MF_MFE;MF 28-1-6-2Ca+EM;NO;0.0;;
PT0121;352;PT;MF_MFE;MF 28-1-6-5S-EM+1CO;NO;0.0;;
PT0122;620;PT;MF_MFE;MF 28-1-7 +EM;NO;0.0;;
PT0123;617;PT;MF_MFE;MF 28 1 8 + EM;NO;0.0;;
PT0124;513;PT;MF_MFE;MF 28-0-12+EM;NO;0.0;;
PT0125;537;PT;MF_MFE;MF 28-14-10+EM;NO;0.0;;
PT0126;432;PT;MF_MFE;MF 28-1-12+EM;NO;0.0;;
PT0127;487;PT;MF_MFE;MF 28-4-15 +EM;NO;0.0;;
PT0128;469;PT;MF_MFE;MF 28-5-6+EM;NO;0.0;;
PT0129;527;PT;MF_MFE;MF 29-0-16-4S;NO;0.0;;
PT0130;522;PT;MF_MFE;MF 29-10-10+EM;NO;0.0;;
PT0131;417;PT;MF_MFE;MF 29-3-15+EM;NO;0.0;;
PT0132;389;PT;MF_MFE;MF 3-10-2 + EM;NO;0.0;;
PT0133;163;PT;MF_MFE;MF 30-0-20 +EM +TMC;NO;0.0;;
PT0134;418;PT;MF_MFE;MF 30 0 20;NO;0.0;;
PT0135;538;PT;MF_MFE;MF 30-11-10+EM;NO;0.0;;
PT0136;493;PT;MF_MFE;MF 30-12K-2CA+EM;NO;0.0;;
PT0137;298;PT;MF_MFE;MF 31-0-20+X;NO;0.0;;
PT0138;187;PT;MF_MFE;MF 31-0-20+TMC;NO;0.0;;
PT0139;81;PT;MF_MFE;MF 31-8-8-2;NO;0.0;;
PT0140;521;PT;MF_MFE;MF 31-6-11+EM;NO;0.0;;
PT0141;380;PT;MF_MFE;MF 32-0-6+EM;NO;0.0;;
PT0142;327;PT;MF_MFE;MF 32-6-5-2SI-1CO;NO;0.0;;
PT0143;383;PT;MF_MFE;MF 32 1 6 2Ca+ EM;NO;0.0;;
PT0144;665;PT;MF_MFE;MF 32-1-12+EM;NO;0.0;;
PT0145;626;PT;MF_MFE;MF 33-1-12+EM;NO;0.0;;
PT0146;479;PT;MF_MFE;MF 33-5-12;NO;0.0;;
PT0147;523;PT;MF_MFE;MF 37-0-11;NO;0.0;;
PT0148;434;PT;MF_MFE;MF 37-2Ca-2Mg+EM;NO;0.0;;
PT0149;168;PT;MF_MFE;MF 38-0-0-8;NO;0.0;;
PT0150;399;PT;MF_MFE;MF 38-10K_;NO;0.0;;
PT0151;640;PT;MF_MFE;MF 3-13-32+EM;NO;0.0;;
PT0152;369;PT;MF_MFE;MF 40-3-0-2+EM;NO;0.0;;
PT0153;292;PT;MF_MFE;MF 52K-1,1B-0,5Z;NO;0.0;;
PT0154;391;PT;MF_MFE;MF 6-9-6+EM;NO;0.0;;
PT0155;356;PT;MF_MFE;MF 7-7-5-3S+EM+2CO;NO;0.0;;
PT0156;545;PT;MF_MFE;MF 7-14-29+EM;NO;0.0;;
PT0157;313;PT;MF_MFE;MF 8-24-8+EM;NO;0.0;;
PT0158;435;PT;MF_MFE;MF 8-15-23+EM;NO;0.0;;
PT0159;510;PT;MF_MFE;MF 8-17-34-1S;NO;0.0;;
PT0160;453;PT;MF_MFE;MF 8-20-12+EM;NO;0.0;;
PT0161;439;PT;MF_MFE;MF 9-12-24+EM;NO;0.0;;
PT0162;21;PT;PT_COMERCIAL;MF-17-6-18-2;NO;0.0;;
PT0163;22;PT;PT_COMERCIAL;MF-23-3-20-4Ca-3Si;NO;0.0;;
PT0164;673;PT;MF_MFE;MFE 0-10+EM;NO;0.0;;
PT0165;588;PT;MF_MFE;MFE 10 11 29;NO;0.0;;
PT0166;641;PT;MF_MFE;MFE 10-24-14 +EM;NO;0.0;;
PT0167;542;PT;MF_MFE;MFE 10-25-8+EM;NO;0.0;;
PT0168;589;PT;MF_MFE;MFE 10-6-16 +EM;NO;0.0;;
PT0169;668;PT;MF_MFE;MFE 10-6-6+EM;NO;0.0;;
PT0170;569;PT;MF_MFE;MFE 10-9-18+EM;NO;0.0;;
PT0171;544;PT;MF_MFE;MFE 11-24-9+EM;NO;0.0;;
PT0172;646;PT;MF_MFE;MFE 11-25-9+EM;NO;0.0;;
PT0173;660;PT;MF_MFE;MFE 11-9-18+EM;NO;0.0;;
PT0174;587;PT;MF_MFE;MFE 12 25 9;NO;0.0;;
PT0175;659;PT;MF_MFE;MFE 13-15-10+EM;NO;0.0;;
PT0176;314;PT;MF_MFE;MFE 13-26-6+EM;NO;0.0;;
PT0177;489;PT;MF_MFE;MFE 13-36-10+EM;NO;0.0;;
PT0178;601;PT;MF_MFE;MFE 13-6-6+EM;NO;0.0;;
PT0179;590;PT;MF_MFE;MFE 15-12-20+EM;NO;0.0;;
PT0180;623;PT;MF_MFE;MFE 15-20-2+EM;NO;0.0;;
