DOSSIER,PRODUCTO,MATERIA_PRIMA,KG_TON,C,N,N-NH4,N-NO3,N-org,N-ur,P,K,CaO,MgO,S,B,Co,Cu,Fe,Mn,Mo,SiO2,Zn,Na
20_CALFER LLENADO,Calfer llenado,NITRATO DE POTASIO (KNO3),367.685292588297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20_CALFER LLENADO,Calfer llenado,SULFATO MAGNESIO ANHIDRO,31.298748050078,0,0,0,0,0,0,0,0,0,0.7825,0.626,0,0,0,0,0,0,0,0,0
20_CALFER LLENADO,Calfer llenado,ACIDO BORICO,1.19995200191992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20_CALFER LLENADO,Calfer llenado,SULFATO DE COBALTO,0.0999960001599936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20_CALFER LLENADO,Calfer llenado,SULFATO DE COBRE,1.5999360025599,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0352,0,0,0,0,0,0
20_CALFER LLENADO,Calfer llenado,SULFATO DE HIERRO,4.99980000799968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20_CALFER LLENADO,Calfer llenado,SULFATO DE MANGANESO,3.29986800527979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20_CALFER LLENADO,Calfer llenado,MOLIBDATO DE SODIO,0.139994400223991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20_CALFER LLENADO,Calfer llenado,SULFATO DE ZINC,0.599976000959962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021,0
20_CALFER LLENADO,Calfer llenado,E.D.T.A,29.2988280468781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20_CALFER LLENADO,Calfer llenado,DIÓXIDO SILICIO,3.0998760049598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20_CALFER LLENADO,Calfer llenado,TOTAL,,0,0,0,0,0,0,0,11.3199,0,0.7825,4.5444,0,0,0.0352,0,0,0,0,0.021,0
22_CALFER MENORES,Calfer Menores,SULFATO MAGNESIO ANHIDRO,281.4,0,0,0,0,0,0,0,0,0,7.035,5.628,0,0,0,0,0,0,0,0,0
22_CALFER MENORES,Calfer Menores,ACIDO BORICO,57.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22_CALFER MENORES,Calfer Menores,SULFATO DE COBALTO,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22_CALFER MENORES,Calfer Menores,SULFATO DE COBRE,60,0,0,0,0,0,0,0,0,0,0,0,0,0,1.32,0,0,0,0,0,0
22_CALFER MENORES,Calfer Menores,SULFATO DE HIERRO,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22_CALFER MENORES,Calfer Menores,SULFATO DE MANGANESO,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22_CALFER MENORES,Calfer Menores,MOLIBDATO DE SODIO,20.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22_CALFER MENORES,Calfer Menores,SULFATO DE ZINC,85.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.003,0
22_CALFER MENORES,Calfer Menores,E.D.T.A,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22_CALFER MENORES,Calfer Menores,DIÓXIDO SILICIO,4.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22_CALFER MENORES,Calfer Menores,TOTAL,,0,0,0,0,0,0,0,0,0,7.035,5.628,0,0,1.32,0,0,0,0,3.003,0
46_RAIFOS 20,SOLURAIFOS_x,FOSFATO DE AMONIO (MAP),822,0,9.042,9.042,0,0,0,42.744,0,0,0,0,0,0,0,0,0,0,0,0,0
46_RAIFOS 20,SOLURAIFOS_x,CLORURO POTASIO (KCL),165,0,0,0,0,0,0,0,9.9,0,0,0,0,0,0,0,0,0,0,0,0
46_RAIFOS 20,SOLURAIFOS_x,Dextrosa Monohidradatada,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46_RAIFOS 20,SOLURAIFOS_x,TOTAL,,0,9.042,9.042,0,0,0,42.744,9.9,0,0,0,0,0,0,0,0,0,0,0,0
52_SULFA K 50,ZueloCa,SULFATO CALCIO - YESO AGRICOLA,230.8,0,0,0,0,0,0,0,0,5.0776,0,3.0004,0,0,0,0,0,0,0,0,0
52_SULFA K 50,ZueloCa,CAL DOLOMITA,566.7,0,0,0,0,0,0,0,0,19.2678,7.9338,0,0,0,0,0,0,0,0,0,0
52_SULFA K 50,ZueloCa,CLORURO POTASIO (KCL),50,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
52_SULFA K 50,ZueloCa,KIESERITA,50,0,0,0,0,0,0,0,0,0,1.25,1,0,0,0,0,0,0,0,0,0
52_SULFA K 50,ZueloCa,SILICATO MAGNESIO,20.6,0,0,0,0,0,0,0,0,0,0.6975,0,0,0,0,0,0,0,0.7618,0,0
52_SULFA K 50,ZueloCa,ULEXITA,16.7,0,0,0,0,0,0,0,0,0.2171,0,0,0.2338,0,0,0,0,0,0,0,0
52_SULFA K 50,ZueloCa,CAOLIN,65.2,0,0,0,0,0,0,0,0,0.0326,0.013,0,0,0,0,0.0326,0,0,3.0644,0,0
52_SULFA K 50,ZueloCa,TOTAL,,0,0,0,0,0,0,0,3,24.5951,9.8944,4.0004,0.2338,0,0,0.0326,0,0,3.8262,0,0
