producto,materia_prima,kg_por_ton,porcentaje
MAGNE-3,OXIDO DE MAGNESIO,50.0,5.0
MAGNE-3,SILICATO MAGNESIO,414.4,41.44
NUCLEO CAMASI YARA,KIESERITA EN POLVO X KILO,50.0,5.0
NUCLEO CAMASI YARA,SILICATO DE MAGNESIO X KILO,100.0,10.0
NUCLEO CAMASI YARA,CARBONATO DE CALCIO X KILO,600.0,60.0
NUCLEO CAMASI YARA,VINAZA X KILO,50.0,5.0
NUCLEO CAMASI YARA,BENTONITA GRIS X KILO,250.0,25.0
NUCLEO FOSFORO-1,ROCA FOSFORICA 26% X KILO,750.0,75.0
NUCLEO FOSFORO-1,BENTONITA ROJA X KILO,100.0,10.0
NUCLEO FOSFORO-1,CAL DOLOMITA X KILO,50.0,5.0
NUCLEO FOSFORO-1,KIESERITA EN POLVO X KILO,50.0,5.0
NUCLEO FOSFORO-1,SILICATO DE MAGNESIO X KILO,50.0,5.0
NUCLEO FOSFORO-1,VINAZA X KILO,100.0,10.0
NUCLEO MAGNESIO-SILICIO,SILICATO DE MAGNESIO X KILO,900.0,90.0
NUCLEO MAGNESIO-SILICIO,BENTONITA ROJA X KILO,50.0,5.0
NUCLEO MAGNESIO-SILICIO,KIESERITA EN POLVO X KILO,50.0,5.0
NUCLEO MAGNESIO-SILICIO,VINAZA X KILO,100.0,10.0
NUCLEO MAGNESIO-S,SULFATO DE CALCIO X KILO,440.0,44.0
NUCLEO MAGNESIO-S,KIESERITA EN POLVO X KILO,180.0,18.0
NUCLEO MAGNESIO-S,BENTONITA ROJA X KILO,70.0,7.0
NUCLEO MAGNESIO-S,SILICATO DE MAGNESIO X KILO,310.0,31.0
NUCLEO MAGNESIO-S,VINAZA X KILO,100.0,10.0
RAIFOS 20,FOSFATO DE AMONIO (MAP),822.0,82.2
RAIFOS 20,CLORURO POTASIO (KCL),165.0,16.5
SUELO-Ca,SILICATO DE MAGNESIO X KILO,50.0,5.0
SUELO-Ca,ULEXITA X KILO,25.0,2.5
SUELO-Ca,CAL DOLOMITA X KILO,550.0,55.0
SUELO-Ca,SULFATO DE CALCIO X KILO,200.0,20.0
SUELO-Ca,BENTONITA ROJA X KILO,50.0,5.0
SUELO-Ca,KIESERITA EN POLVO X KILO,50.0,5.0
SUELO-Ca,VINAZA X KILO,200.0,20.0
SUELO-Ca,KCL STANDAR X KILO,40.0,4.0
SUELO-Ca,CARBONATO DE CALCIO X KILO,35.0,3.5
SULFA K 50,CLORURO POTASIO (KCL),164.5,16.45
SULFA K 50,FOSFATO MONOPOTASICO (MKP),57.7,5.7700000000000005
SULFA K 50,SULFATO POTASIO,777.8,77.78
SULFATO ZINC 22,SULFATO DE ZINC 35% X KILO,675.0,67.5
SULFATO ZINC 22,CARBONATO DE CALCIO X KILO,75.0,7.5
SULFATO ZINC 22,KIESERITA EN POLVO X KILO,50.0,5.0
SULFATO ZINC 22,BENTONITA GRIS X KILO,200.0,20.0
YESO EN POLVO,SULFATO DE CALCIO X KILO,750.0,75.0
YESO EN POLVO,KIESERITA EN POLVO X KILO,50.0,5.0
YESO EN POLVO,CARBONATO DE CALCIO X KILO,150.0,15.0
YESO EN POLVO,BENTONITA GRIS X KILO,50.0,5.0
BIOPLANTAS,BIOCANECON X KILO,1000.0,100.0
SILIMAGRAN 30,ROCA FOSFORICA 26% X KILO,160.0,16.0
SILIMAGRAN 30,BENTONITA GRIS X KILO,20.0,2.0
SILIMAGRAN 30,KIESERITA EN POLVO X KILO,70.0,7.0
SILIMAGRAN 30,VINAZA X KILO,100.0,10.0
