Ext. 1 detalle	Desc. grupo impositivo	Item	Referencia	Desc. item	Grupo impositivo	Tipo inventario	Desc. tipo inventario	Tipo item	Manufactura	Extensión	Maneja lote	U.M. adic.	Asignación lote	
	EXENTA RETECOMPRA 2.5 Y AUTOCREE	0000078	MP0113	ROCA FOSFORICA 24% X KILO	004 	IN14050502	MATERIA PRIMA EXENTA	Inventario	Si	No	Si	    	Manual	
	EXENTA RETECOMPRA 2.5 Y AUTOCREE	0000079	MP0114	CAL HIDRATADA	004 	IN14050502	MATERIA PRIMA EXENTA	Inventario	Si	No	Si	    	Manual	
	IVA 19%; RETEFUENTE 2.5%; Y AUTOCREE	0000080	MP0020	EMPAQUE FERTIMENORES X KILO	001 	IN14050504	MATERIA PRIMA GRAV 19%	Inventario	Si	No	Si	    	Manual	
	IVA 19%; RETEFUENTE 2.5%; Y AUTOCREE	0000081	MP0021	EMPAQUES X KILO	001 	IN14050504	MATERIA PRIMA GRAV 19%	Inventario	Si	No	Si	    	Manual	
	IVA 19%; RETEFUENTE 2.5%; Y AUTOCREE	0000082	MP0042	BIG BAG X 1000 KILOS	001 	IN14050504	MATERIA PRIMA GRAV 19%	Inventario	Si	No	Si	    	Manual	
	IVA 19%; RETEFUENTE 2.5%; Y AUTOCREE	0000083	MP0058	EMPAQUE CALFERMAGNESIO X KILO	001 	IN14050504	MATERIA PRIMA GRAV 19%	Inventario	Si	No	Si	    	Manual	
	IVA 19%; RETEFUENTE 2.5%; Y AUTOCREE	0000084	MP0059	EMPAQUE CALFERTEC X KILO	001 	IN14050504	MATERIA PRIMA GRAV 19%	Inventario	Si	No	Si	    	Manual	
	IVA 19%; RETEFUENTE 2.5%; Y AUTOCREE	0000085	MP0060	EMPAQUE MICRON C-S X KILO	001 	IN14050504	MATERIA PRIMA GRAV 19%	Inventario	Si	No	Si	    	Manual	
	IVA 19%; RETEFUENTE 2.5%; Y AUTOCREE	0000086	MP0061	EMPAQUE SULFATO DE CALCIO X KILO	001 	IN14050504	MATERIA PRIMA GRAV 19%	Inventario	Si	No	Si	    	Manual	
	IVA 19%; RETEFUENTE 2.5%; Y AUTOCREE	0000087	MP0062	EMPAQUE SILIMAGRAM X KILO	001 	IN14050504	MATERIA PRIMA GRAV 19%	Inventario	Si	No	Si	    	Manual	
	IVA 19%; RETEFUENTE 2.5%; Y AUTOCREE	0000088	MP0063	EMPAQUE MF 15-15-15 X KILO	001 	IN14050504	MATERIA PRIMA GRAV 19%	Inventario	Si	No	Si	    	Manual	
	IVA 19%; RETEFUENTE 2.5%; Y AUTOCREE	0000089	MP0064	EMPAQUE MF 17-6-18-2 X KILO	001 	IN14050504	MATERIA PRIMA GRAV 19%	Inventario	Si	No	Si	    	Manual	
